#             R [au]        psi_0 [a.u.]
    1.050035001167E0   9.090043730539E-1
    1.053368445615E0   9.084708152368E-1
    1.056701890063E0   9.079184818435E-1
    1.060035334511E0   9.073474708288E-1
    1.063368778959E0   9.067578806045E-1
    1.066702223407E0   9.061498100307E-1
    1.070035667856E0   9.055233584079E-1
    1.073369112304E0   9.048786254687E-1
    1.076702556752E0   9.042157113701E-1
    1.080036001200E0   9.035347166846E-1
    1.083369445648E0   9.028357423928E-1
    1.086702890096E0   9.021188898748E-1
    1.090036334544E0   9.013842609024E-1
    1.093369778993E0   9.006319576311E-1
    1.096703223441E0   8.998620825915E-1
    1.100036667889E0   8.990747386820E-1
    1.103370112337E0   8.982700291601E-1
    1.106703556785E0   8.974480576350E-1
    1.110037001233E0   8.966089280591E-1
    1.113370445682E0   8.957527447203E-1
    1.116703890130E0   8.948796122341E-1
    1.120037334578E0   8.939896355355E-1
    1.123370779026E0   8.930829198711E-1
    1.126704223474E0   8.921595707916E-1
    1.130037667922E0   8.912196941432E-1
    1.133371112370E0   8.902633960605E-1
    1.136704556819E0   8.892907829584E-1
    1.140038001267E0   8.883019615240E-1
    1.143371445715E0   8.872970387095E-1
    1.146704890163E0   8.862761217238E-1
    1.150038334611E0   8.852393180252E-1
    1.153371779059E0   8.841867353135E-1
    1.156705223507E0   8.831184815226E-1
    1.160038667956E0   8.820346648125E-1
    1.163372112404E0   8.809353935619E-1
    1.166705556852E0   8.798207763607E-1
    1.170039001300E0   8.786909220022E-1
    1.173372445748E0   8.775459394759E-1
    1.176705890196E0   8.763859379596E-1
    1.180039334644E0   8.752110268125E-1
    1.183372779093E0   8.740213155672E-1
    1.186706223541E0   8.728169139225E-1
    1.190039667989E0   8.715979317362E-1
    1.193373112437E0   8.703644790176E-1
    1.196706556885E0   8.691166659201E-1
    1.200040001333E0   8.678546027344E-1
    1.203373445782E0   8.665783998804E-1
    1.206706890230E0   8.652881679010E-1
    1.210040334678E0   8.639840174541E-1
    1.213373779126E0   8.626660593058E-1
    1.216707223574E0   8.613344043235E-1
    1.220040668022E0   8.599891634684E-1
    1.223374112470E0   8.586304477888E-1
    1.226707556919E0   8.572583684130E-1
    1.230041001367E0   8.558730365423E-1
    1.233374445815E0   8.544745634440E-1
    1.236707890263E0   8.530630604446E-1
    1.240041334711E0   8.516386389232E-1
    1.243374779159E0   8.502014103041E-1
    1.246708223607E0   8.487514860505E-1
    1.250041668056E0   8.472889776577E-1
    1.253375112504E0   8.458139966463E-1
    1.256708556952E0   8.443266545554E-1
    1.260042001400E0   8.428270629363E-1
    1.263375445848E0   8.413153333456E-1
    1.266708890296E0   8.397915773388E-1
    1.270042334744E0   8.382559064641E-1
    1.273375779193E0   8.367084322551E-1
    1.276709223641E0   8.351492662254E-1
    1.280042668089E0   8.335785198613E-1
    1.283376112537E0   8.319963046163E-1
    1.286709556985E0   8.304027319040E-1
    1.290043001433E0   8.287979130923E-1
    1.293376445882E0   8.271819594972E-1
    1.296709890330E0   8.255549823765E-1
    1.300043334778E0   8.239170929235E-1
    1.303376779226E0   8.222684022612E-1
    1.306710223674E0   8.206090214361E-1
