#             R [au]        psi_0 [a.u.]        psi_1 [a.u.]
   2.733424447482E-1   2.345940894563E-1   6.810134569492E-1
   2.740091336378E-1   2.361412200967E-1   6.847112616510E-1
   2.746758225274E-1   2.376938770868E-1   6.884131298347E-1
   2.753425114170E-1   2.392520558285E-1   6.921189649141E-1
   2.760092003067E-1   2.408157516152E-1   6.958286699150E-1
   2.766758891963E-1   2.423849596316E-1   6.995421474781E-1
   2.773425780859E-1   2.439596749538E-1   7.032592998616E-1
   2.780092669756E-1   2.455398925497E-1   7.069800289449E-1
   2.786759558652E-1   2.471256072785E-1   7.107042362308E-1
   2.793426447548E-1   2.487168138906E-1   7.144318228491E-1
   2.800093336445E-1   2.503135070284E-1   7.181626895592E-1
   2.806760225341E-1   2.519156812254E-1   7.218967367535E-1
   2.813427114237E-1   2.535233309066E-1   7.256338644601E-1
   2.820094003133E-1   2.551364503888E-1   7.293739723460E-1
   2.826760892030E-1   2.567550338800E-1   7.331169597203E-1
   2.833427780926E-1   2.583790754799E-1   7.368627255372E-1
   2.840094669822E-1   2.600085691796E-1   7.406111683989E-1
   2.846761558719E-1   2.616435088620E-1   7.443621865590E-1
   2.853428447615E-1   2.632838883013E-1   7.481156779258E-1
   2.860095336511E-1   2.649297011634E-1   7.518715400648E-1
   2.866762225408E-1   2.665809410059E-1   7.556296702024E-1
   2.873429114304E-1   2.682376012780E-1   7.593899652291E-1
   2.880096003200E-1   2.698996753205E-1   7.631523217022E-1
   2.886762892096E-1   2.715671563659E-1   7.669166358496E-1
   2.893429780993E-1   2.732400375385E-1   7.706828035726E-1
   2.900096669889E-1   2.749183118543E-1   7.744507204494E-1
   2.906763558785E-1   2.766019722209E-1   7.782202817381E-1
   2.913430447682E-1   2.782910114380E-1   7.819913823801E-1
   2.920097336578E-1   2.799854221971E-1   7.857639170034E-1
   2.926764225474E-1   2.816851970813E-1   7.895377799258E-1
   2.933431114370E-1   2.833903285659E-1   7.933128651582E-1
   2.940098003267E-1   2.851008090180E-1   7.970890664081E-1
   2.946764892163E-1   2.868166306968E-1   8.008662770827E-1
   2.953431781059E-1   2.885377857534E-1   8.046443902921E-1
   2.960098669956E-1   2.902642662312E-1   8.084232988532E-1
