#             R [au]        psi_0 [a.u.]
   4.293476449215E-1   2.098966080242E-7
   4.300143338111E-1   2.111964998326E-7
   4.306810227008E-1   2.125023879619E-7
   4.313477115904E-1   2.138142905269E-7
   4.320144004800E-1   2.151322256676E-7
   4.326810893696E-1   2.164562115486E-7
   4.333477782593E-1   2.177862663601E-7
   4.340144671489E-1   2.191224083167E-7
   4.346811560385E-1   2.204646556584E-7
   4.353478449282E-1   2.218130266500E-7
   4.360145338178E-1   2.231675395813E-7
   4.366812227074E-1   2.245282127668E-7
   4.373479115971E-1   2.258950645464E-7
   4.380146004867E-1   2.272681132843E-7
   4.386812893763E-1   2.286473773702E-7
   4.393479782659E-1   2.300328752182E-7
   4.400146671556E-1   2.314246252676E-7
