#             R [au]        psi_0 [a.u.]
   4.253475115837E-1   4.697270652169E-1
   4.260142004733E-1   4.715018061066E-1
   4.266808893630E-1   4.732789890996E-1
   4.273475782526E-1   4.750586016848E-1
   4.280142671422E-1   4.768406313024E-1
   4.286809560319E-1   4.786250653438E-1
   4.293476449215E-1   4.804118911519E-1
   4.300143338111E-1   4.822010960210E-1
   4.306810227008E-1   4.839926671974E-1
   4.313477115904E-1   4.857865918789E-1
   4.320144004800E-1   4.875828572152E-1
   4.326810893696E-1   4.893814503081E-1
   4.333477782593E-1   4.911823582116E-1
   4.340144671489E-1   4.929855679317E-1
   4.346811560385E-1   4.947910664270E-1
   4.353478449282E-1   4.965988406084E-1
   4.360145338178E-1   4.984088773395E-1
   4.366812227074E-1   5.002211634367E-1
   4.373479115971E-1   5.020356856690E-1
   4.380146004867E-1   5.038524307585E-1
   4.386812893763E-1   5.056713853805E-1
   4.393479782659E-1   5.074925361632E-1
   4.400146671556E-1   5.093158696883E-1
