#             E [au]      sigma_0 [au^2]      sigma_1 [au^2]    sigma_tot [au^2]
   1.425000000000E-1    4.309521963140E1    5.744538127226E1    1.005406009037E2
   1.430000000000E-1    4.290730185284E1    5.754375679655E1    1.004510586494E2
   1.435000000000E-1    4.272011277516E1    5.764128377041E1    1.003613965456E2
   1.440000000000E-1    4.253365006078E1    5.773796489834E1    1.002716149591E2
   1.445000000000E-1    4.234791137855E1    5.783380288379E1    1.001817142623E2
   1.450000000000E-1    4.216289440419E1    5.792880043366E1    1.000916948379E2
   1.455000000000E-1    4.197859681984E1    5.802296025772E1    1.000015570776E2
   1.460000000000E-1    4.179501631425E1    5.811628507023E1    9.991130138449E1
   1.465000000000E-1    4.161215058281E1    5.820877758288E1    9.982092816569E1
   1.470000000000E-1    4.142999732747E1    5.830044051436E1    9.973043784182E1
   1.475000000000E-1    4.124855425660E1    5.839127658168E1    9.963983083828E1
   1.480000000000E-1    4.106781908519E1    5.848128850634E1    9.954910759153E1
   1.485000000000E-1    4.088778953467E1    5.857047900864E1    9.945826854331E1
   1.490000000000E-1    4.070846333293E1    5.865885081184E1    9.936731414477E1
   1.495000000000E-1    4.052983821446E1    5.874640664094E1    9.927624485540E1
   1.500000000000E-1    4.035191192020E1    5.883314921948E1    9.918506113968E1
   1.505000000000E-1    4.017468219735E1    5.891908127615E1    9.909376347351E1
   1.510000000000E-1    3.999814679973E1    5.900420553590E1    9.900235233563E1
   1.515000000000E-1    3.982230348746E1    5.908852472655E1    9.891082821401E1
   1.520000000000E-1    3.964715002715E1    5.917204157772E1    9.881919160486E1
   1.525000000000E-1    3.947268419175E1    5.925475881524E1    9.872744300699E1
   1.530000000000E-1    3.929890376052E1    5.933667916978E1    9.863558293031E1
   1.535000000000E-1    3.912580651917E1    5.941780536988E1    9.854361188906E1
   1.540000000000E-1    3.895339025975E1    5.949814014374E1    9.845153040349E1
   1.545000000000E-1    3.878165278047E1    5.957768621953E1    9.835933900000E1
   1.550000000000E-1    3.861059188600E1    5.965644632660E1    9.826703821261E1
   1.555000000000E-1    3.844020538744E1    5.973442319295E1    9.817462858039E1
   1.560000000000E-1    3.827049110170E1    5.981161954497E1    9.808211064667E1
   1.565000000000E-1    3.810144685237E1    5.988803810897E1    9.798948496134E1
   1.570000000000E-1    3.793307046922E1    5.996368161227E1    9.789675208150E1
   1.575000000000E-1    3.776535978813E1    6.003855277906E1    9.780391256719E1
   1.580000000000E-1    3.759831265133E1    6.011265433410E1    9.771096698543E1
   1.585000000000E-1    3.743192690723E1    6.018598899935E1    9.761791590657E1
   1.590000000000E-1    3.726620041034E1    6.025855949631E1    9.752475990666E1
